time	V(5v)	V(mos_out)	V(n001)	V(n002)	V(n003)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	Id(M2)	Ig(M2)	Is(M2)	Ix(U1:1)	Ix(U1:2)	Ix(U1:3)	Ix(U1:4)	Ix(U1:7)
0.000000000000000e+00	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.235934e-10	0.000000e+00	1.235934e-10	1.004291e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
9.999999717180685e-10	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.243870e-10	-1.210143e-14	1.243991e-10	1.447139e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
1.999999943436137e-09	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.244814e-10	2.348122e-14	1.244579e-10	1.004033e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
3.999999886872274e-09	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.242802e-10	-1.164219e-14	1.242919e-10	5.463403e-16	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
7.999999773744548e-09	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.257555e-10	4.921352e-15	1.257506e-10	1.026476e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
1.599999954748910e-08	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.245259e-10	7.654379e-15	1.245182e-10	-6.168885e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
3.199999909497819e-08	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.259444e-10	1.464072e-14	1.259297e-10	-7.199791e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
6.399999818995639e-08	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.244660e-10	2.777490e-14	1.244383e-10	-1.634371e-14	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
1.279999963799128e-07	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.241645e-10	3.264644e-14	1.241318e-10	-1.973686e-14	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
2.559999927598255e-07	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.238857e-10	1.033383e-14	1.238754e-10	-1.053870e-14	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
5.119999855196511e-07	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.252305e-10	2.544092e-14	1.252050e-10	-1.627995e-14	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
1.023999971039302e-06	5.000000e+00	4.929305e+00	4.999811e+00	4.999811e+00	4.415715e+00	-4.999811e-06	4.999811e-06	2.366052e-05	5.842851e-04	6.021703e-04	-1.736576e-03	-1.231726e-10	2.032502e-14	1.231523e-10	-9.442594e-15	-1.788520e-05	1.866084e-05	-1.129406e-03	1.128630e-03
