time	I(R4)	I(R5)	I(R7)	Ib(Q2)	Ib(Q4)	Ie(Q2)	Ie(Q3)	Ie(Q4)
0.000000000000000e+00	6.858176e-04	-6.858176e-04	-9.380045e-04	-1.649618e-04	3.400204e-06	2.862788e-06	-6.824174e-04	-7.793056e-04
4.288144243348923e-04	6.885155e-04	-6.831198e-04	-9.404464e-04	-1.643403e-04	3.413608e-06	2.848631e-06	-6.851018e-04	-7.823683e-04
8.576288486697847e-04	6.912069e-04	-6.804285e-04	-9.428823e-04	-1.637202e-04	3.426978e-06	2.834531e-06	-6.877799e-04	-7.854236e-04
1.286443273004677e-03	6.938919e-04	-6.777438e-04	-9.453121e-04	-1.631014e-04	3.440314e-06	2.820486e-06	-6.904516e-04	-7.884716e-04
1.715257697339569e-03	6.965705e-04	-6.750657e-04	-9.477360e-04	-1.624839e-04	3.453617e-06	2.806498e-06	-6.931168e-04	-7.915123e-04
2.144072121674462e-03	6.992426e-04	-6.723940e-04	-9.501539e-04	-1.618678e-04	3.466885e-06	2.792567e-06	-6.957757e-04	-7.945456e-04
2.572886546009354e-03	7.019083e-04	-6.697289e-04	-9.525658e-04	-1.612531e-04	3.480120e-06	2.778691e-06	-6.984282e-04	-7.975716e-04
3.001700970344245e-03	7.045675e-04	-6.670703e-04	-9.549717e-04	-1.606397e-04	3.493320e-06	2.764872e-06	-7.010742e-04	-8.005903e-04
4.954825970344245e-03	7.164524e-04	-6.551892e-04	-9.657211e-04	-1.578956e-04	3.552339e-06	2.703342e-06	-7.129001e-04	-8.140812e-04
6.907950970344245e-03	7.278772e-04	-6.437694e-04	-9.760502e-04	-1.552543e-04	3.609075e-06	2.644583e-06	-7.242681e-04	-8.270496e-04
8.861075970344245e-03	7.386700e-04	-6.329827e-04	-9.858041e-04	-1.527560e-04	3.662675e-06	2.589426e-06	-7.350073e-04	-8.393002e-04
1.081420097034425e-02	7.486683e-04	-6.229912e-04	-9.948368e-04	-1.504389e-04	3.712332e-06	2.538634e-06	-7.449560e-04	-8.506488e-04
1.276732597034425e-02	7.577217e-04	-6.139450e-04	-1.003013e-03	-1.483386e-04	3.757297e-06	2.492899e-06	-7.539644e-04	-8.609245e-04
1.472045097034425e-02	7.656937e-04	-6.059800e-04	-1.010210e-03	-1.464875e-04	3.796893e-06	2.452827e-06	-7.618968e-04	-8.699727e-04
1.667357597034425e-02	7.724644e-04	-5.992159e-04	-1.016322e-03	-1.449140e-04	3.830523e-06	2.418943e-06	-7.686339e-04	-8.776573e-04
1.862670097034425e-02	7.779317e-04	-5.937542e-04	-1.021256e-03	-1.436425e-04	3.857679e-06	2.391681e-06	-7.740740e-04	-8.838625e-04
2.057982597034425e-02	7.820133e-04	-5.896771e-04	-1.024938e-03	-1.426928e-04	3.877953e-06	2.371388e-06	-7.781353e-04	-8.884949e-04
2.253295097034425e-02	7.846477e-04	-5.870457e-04	-1.027315e-03	-1.420796e-04	3.891038e-06	2.358317e-06	-7.807566e-04	-8.914848e-04
2.448607597034425e-02	7.857952e-04	-5.858995e-04	-1.028350e-03	-1.418125e-04	3.896737e-06	2.352631e-06	-7.818985e-04	-8.927871e-04
2.643920097034425e-02	7.854386e-04	-5.862557e-04	-1.028029e-03	-1.418955e-04	3.894963e-06	2.354400e-06	-7.815436e-04	-8.923823e-04
