time	V(n004)	V(n005)	I(I1)
0.000000000000000e+00	-2.176679e+00	-2.744022e+00	1.280330e-04
7.264751924334895e-03	-2.217060e+00	-2.523509e+00	1.304084e-04
1.452950384866979e-02	-2.255294e+00	-2.314714e+00	1.326574e-04
2.179425577300469e-02	-2.291378e+00	-2.117638e+00	1.347800e-04
2.905900769733958e-02	-2.325315e+00	-1.932281e+00	1.367763e-04
3.632375962167447e-02	-2.357104e+00	-1.758642e+00	1.386463e-04
4.358851154600937e-02	-2.386745e+00	-1.596722e+00	1.403899e-04
5.085326347034425e-02	-2.414237e+00	-1.446521e+00	1.420071e-04
5.489902239891568e-02	-2.428447e+00	-1.368902e+00	1.428429e-04
5.894478132748711e-02	-2.441891e+00	-1.295464e+00	1.436337e-04
6.299054025605853e-02	-2.454569e+00	-1.226207e+00	1.443795e-04
6.703629918462997e-02	-2.466482e+00	-1.161132e+00	1.450803e-04
7.108205811320140e-02	-2.477629e+00	-1.100238e+00	1.457360e-04
7.512781704177282e-02	-2.488011e+00	-1.043524e+00	1.463467e-04
7.917357597034425e-02	-2.497628e+00	-9.909924e-01	1.469124e-04
8.266129918462996e-02	-2.505275e+00	-9.491902e-01	1.473623e-04
8.614902239891567e-02	-2.512324e+00	-9.106765e-01	1.477769e-04
8.963674561320140e-02	-2.518775e+00	-8.754514e-01	1.481564e-04
9.312446882748711e-02	-2.524628e+00	-8.435148e-01	1.485006e-04
9.661219204177282e-02	-2.529882e+00	-8.148667e-01	1.488097e-04
1.000999152560585e-01	-2.534538e+00	-7.895072e-01	1.490836e-04
1.035876384703442e-01	-2.538595e+00	-7.674361e-01	1.493223e-04
1.056802723989157e-01	-2.540735e+00	-7.559100e-01	1.494481e-04
1.077729063274871e-01	-2.542656e+00	-7.456142e-01	1.495611e-04
1.098655402560585e-01	-2.544357e+00	-7.365488e-01	1.496612e-04
1.119581741846300e-01	-2.545838e+00	-7.287137e-01	1.497483e-04
1.140508081132014e-01	-2.547100e+00	-7.221090e-01	1.498226e-04
1.161434420417728e-01	-2.548142e+00	-7.167347e-01	1.498839e-04
1.182360759703442e-01	-2.548965e+00	-7.125908e-01	1.499323e-04
1.206077277560585e-01	-2.549631e+00	-7.092300e-01	1.499714e-04
1.229793795417728e-01	-2.550014e+00	-7.073003e-01	1.499940e-04
1.253510313274871e-01	-2.550113e+00	-7.068018e-01	1.499998e-04
1.277226831132014e-01	-2.549930e+00	-7.077343e-01	1.499890e-04
1.300943348989157e-01	-2.549464e+00	-7.100978e-01	1.499616e-04
1.324659866846300e-01	-2.548714e+00	-7.138925e-01	1.499175e-04
1.348376384703442e-01	-2.547682e+00	-7.191182e-01	1.498568e-04
1.379068348989157e-01	-2.545924e+00	-7.282454e-01	1.497534e-04
1.409760313274871e-01	-2.543695e+00	-7.400211e-01	1.496223e-04
1.440452277560585e-01	-2.540997e+00	-7.544454e-01	1.494636e-04
1.471144241846300e-01	-2.537829e+00	-7.715183e-01	1.492772e-04
1.501836206132014e-01	-2.534191e+00	-7.912399e-01	1.490632e-04
1.532528170417728e-01	-2.530083e+00	-8.136100e-01	1.488216e-04
1.563220134703442e-01	-2.525505e+00	-8.386288e-01	1.485523e-04
1.607862991846300e-01	-2.518002e+00	-8.796021e-01	1.481109e-04
1.652505848989157e-01	-2.509539e+00	-9.258151e-01	1.476131e-04
1.697148706132014e-01	-2.500118e+00	-9.772677e-01	1.470589e-04
1.741791563274871e-01	-2.489737e+00	-1.033960e+00	1.464483e-04
1.786434420417728e-01	-2.478398e+00	-1.095892e+00	1.457812e-04
1.831077277560585e-01	-2.466100e+00	-1.163063e+00	1.450578e-04
1.875720134703442e-01	-2.452842e+00	-1.235475e+00	1.442780e-04
1.885485759703442e-01	-2.449823e+00	-1.251965e+00	1.441004e-04
1.905017009703442e-01	-2.443652e+00	-1.285671e+00	1.437374e-04
1.924548259703442e-01	-2.437305e+00	-1.320338e+00	1.433640e-04
1.953845134703442e-01	-2.427457e+00	-1.374129e+00	1.427847e-04
