time	I(I2)	I(I3)	I(R8)	I(R13)
0.000000000000000e+00	0.000000e+00	0.000000e+00	2.642613e-07	1.250044e-03
1.999999943436137e-09	1.256637e-11	1.256637e-11	2.642613e-07	1.250044e-03
3.999999886872274e-09	2.513274e-11	2.513274e-11	2.642613e-07	1.250044e-03
3.199999909497819e-08	2.010619e-10	2.010619e-10	2.642705e-07	1.250044e-03
4.288418529055452e-04	2.697999e-06	2.697999e-06	5.659312e-06	1.250943e-03
8.576517058119954e-04	5.389314e-06	5.389314e-06	1.104153e-05	1.251840e-03
1.286461558718446e-03	8.074145e-06	8.074145e-06	1.641091e-05	1.252735e-03
1.715271411624896e-03	1.075249e-05	1.075249e-05	2.176747e-05	1.253628e-03
2.144081264531346e-03	1.342435e-05	1.342435e-05	2.711120e-05	1.254519e-03
2.572891117437796e-03	1.608973e-05	1.608973e-05	3.244211e-05	1.255407e-03
3.001700970344245e-03	1.874863e-05	1.874863e-05	3.776018e-05	1.256293e-03
4.954825970344245e-03	3.063163e-05	3.063163e-05	6.152618e-05	1.260254e-03
6.907950970344245e-03	4.205390e-05	4.205390e-05	8.437074e-05	1.264062e-03
8.861075970344245e-03	5.284365e-05	5.284365e-05	1.059503e-04	1.267658e-03
1.081420097034425e-02	6.283857e-05	6.283857e-05	1.259402e-04	1.270990e-03
1.276732597034425e-02	7.188835e-05	7.188835e-05	1.440398e-04	1.274007e-03
1.472045097034425e-02	7.985685e-05	7.985685e-05	1.599769e-04	1.276663e-03
1.667357597034425e-02	8.662424e-05	8.662424e-05	1.735118e-04	1.278919e-03
1.862670097034425e-02	9.208872e-05	9.208872e-05	1.844408e-04	1.280740e-03
2.057982597034425e-02	9.616809e-05	9.616809e-05	1.925997e-04	1.282100e-03
2.253295097034425e-02	9.880101e-05	9.880101e-05	1.978657e-04	1.282978e-03
2.448607597034425e-02	9.994787e-05	9.994787e-05	2.001596e-04	1.283360e-03
2.643920097034425e-02	9.959142e-05	9.959142e-05	1.994468e-04	1.283241e-03
2.839232597034425e-02	9.773702e-05	9.773702e-05	1.957382e-04	1.282623e-03
3.034545097034425e-02	9.441257e-05	9.441257e-05	1.890895e-04	1.281515e-03
3.229857597034425e-02	8.966806e-05	8.966806e-05	1.796006e-04	1.279933e-03
3.425170097034425e-02	8.357487e-05	8.357487e-05	1.674144e-04	1.277902e-03
3.620482597034425e-02	7.622463e-05	7.622463e-05	1.527141e-04	1.275452e-03
3.815795097034425e-02	6.772789e-05	6.772789e-05	1.357208e-04	1.272620e-03
4.011107597034425e-02	5.821248e-05	5.821248e-05	1.166900e-04	1.269448e-03
4.206420097034425e-02	4.782149e-05	4.782149e-05	9.590819e-05	1.265985e-03
4.401732597034425e-02	3.671122e-05	3.671122e-05	7.368776e-05	1.262281e-03
4.597045097034425e-02	2.504878e-05	2.504878e-05	5.036296e-05	1.258394e-03
4.792357597034425e-02	1.300958e-05	1.300958e-05	2.628464e-05	1.254381e-03
4.987670097034425e-02	7.747029e-07	7.747029e-07	1.814954e-06	1.250302e-03
5.182982597034425e-02	-1.147182e-05	-1.147182e-05	-2.267806e-05	1.246220e-03
5.378295097034425e-02	-2.354580e-05	-2.354580e-05	-4.682600e-05	1.242196e-03
5.573607597034425e-02	-3.526563e-05	-3.526563e-05	-7.026566e-05	1.238289e-03
5.768920097034425e-02	-4.645503e-05	-4.645503e-05	-9.264448e-05	1.234559e-03
5.964232597034425e-02	-5.694570e-05	-5.694570e-05	-1.136259e-04	1.231062e-03
6.159545097034425e-02	-6.657987e-05	-6.657987e-05	-1.328942e-04	1.227851e-03
6.354857597034425e-02	-7.521260e-05	-7.521260e-05	-1.501598e-04	1.224973e-03
6.550170097034425e-02	-8.271406e-05	-8.271406e-05	-1.651628e-04	1.222473e-03
6.745482597034425e-02	-8.897144e-05	-8.897144e-05	-1.776777e-04	1.220387e-03
