time	V(control)	V(n001)	I(R1)
0.000000000000000e+00	0.000000e+00	-1.499986e+01	1.499986e-02
9.999999717180685e-10	5.000000e+00	-1.499969e+01	1.499969e-02
1.199172971665996e-09	5.000000e+00	-1.499969e+01	1.499969e-02
1.464736971596565e-09	5.000000e+00	-1.499970e+01	1.499970e-02
2.167357287214577e-09	5.000000e+00	-1.499970e+01	1.499970e-02
2.600925992992161e-09	5.000000e+00	-1.499970e+01	1.499970e-02
3.248462285217174e-09	5.000000e+00	-1.499970e+01	1.499970e-02
4.084369433861244e-09	5.000000e+00	-1.499971e+01	1.499971e-02
5.658926970250141e-09	5.000000e+00	-1.499971e+01	1.499971e-02
8.808042043027936e-09	5.000000e+00	-1.499973e+01	1.499973e-02
1.510627218858352e-08	5.000000e+00	-1.499976e+01	1.499976e-02
2.389634574454647e-08	5.000000e+00	-1.499979e+01	1.499979e-02
3.857340675511013e-08	5.000000e+00	-1.499982e+01	1.499982e-02
5.503145724155633e-08	5.000000e+00	-1.499985e+01	1.499985e-02
7.014163621904918e-08	5.000000e+00	-1.499986e+01	1.499986e-02
8.800738863769710e-08	5.000000e+00	-1.499986e+01	1.499986e-02
1.067522617895121e-07	5.000000e+00	-1.499986e+01	1.499986e-02
1.318314765858527e-07	5.000000e+00	-1.499986e+01	1.499986e-02
1.630807366575207e-07	5.000000e+00	-1.499986e+01	1.499986e-02
2.116688660290835e-07	5.000000e+00	-1.499986e+01	1.499986e-02
2.896383386693406e-07	5.000000e+00	-1.499986e+01	1.499986e-02
4.455772839498549e-07	5.000000e+00	-1.499986e+01	1.499986e-02
6.821777122499830e-07	5.000000e+00	-1.499986e+01	1.499986e-02
1.075652782832814e-06	5.000000e+00	-1.499986e+01	1.499986e-02
1.475904969678006e-06	5.000000e+00	-1.499986e+01	1.499986e-02
2.010262197313126e-06	5.000000e+00	-1.499986e+01	1.499986e-02
2.572068628870555e-06	5.000000e+00	-1.499986e+01	1.499986e-02
4.670080769093858e-06	5.000000e+00	-1.499986e+01	1.499986e-02
6.768092909317162e-06	5.000000e+00	-1.499986e+01	1.499986e-02
8.866105049540467e-06	5.000000e+00	-1.499986e+01	1.499986e-02
1.096411718976377e-05	5.000000e+00	-1.499986e+01	1.499986e-02
1.306212932998707e-05	5.000000e+00	-1.499986e+01	1.499986e-02
1.516014147021038e-05	5.000000e+00	-1.499986e+01	1.499986e-02
1.725815361043368e-05	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000010000000e-01	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000019999999e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000000179999995e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000000206921821e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000000252347538e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000000343198974e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000000524901843e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000000888307583e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000001417189582e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000002180985234e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000003446776882e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000005978360179e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000008501909726e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000010826839905e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000013058634960e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000015456669199e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000017691908476e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000018350812073e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018519783895e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018550944725e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018560352186e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018563119543e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018565269140e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018567539281e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018570547179e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018573421537e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018577532309e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018582357063e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018590505290e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018603756490e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018630258889e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000018683263687e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000020233245255e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000021886558927e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000024308659099e-01	0.000000e+00	-1.499987e+01	1.499987e-02
5.000025398228652e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000026622412870e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000027798141384e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000029042300824e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000030487866477e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000032233663092e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000035725256321e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000042708442780e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000052443829870e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000071914604048e-01	0.000000e+00	-1.499986e+01	1.499986e-02
5.000110856152407e-01	0.000000e+00	-1.499986e+01	1.499986e-02
1.000000000000000e+00	0.000000e+00	-1.499986e+01	1.499986e-02
1.000000001000000e+00	5.000000e+00	-1.499969e+01	1.499969e-02
1.000000001108884e+00	5.000000e+00	-1.499969e+01	1.499969e-02
1.000000001254064e+00	5.000000e+00	-1.499969e+01	1.499970e-02
1.000000001753494e+00	5.000000e+00	-1.499970e+01	1.499970e-02
1.000000002093940e+00	5.000000e+00	-1.499970e+01	1.499970e-02
1.000000002589528e+00	5.000000e+00	-1.499970e+01	1.499970e-02
1.000000003159886e+00	5.000000e+00	-1.499970e+01	1.499970e-02
1.000000004068208e+00	5.000000e+00	-1.499971e+01	1.499971e-02
1.000000005433823e+00	5.000000e+00	-1.499971e+01	1.499971e-02
1.000000008165053e+00	5.000000e+00	-1.499973e+01	1.499973e-02
1.000000013627512e+00	5.000000e+00	-1.499975e+01	1.499975e-02
1.000000022115413e+00	5.000000e+00	-1.499978e+01	1.499978e-02
1.000000038281182e+00	5.000000e+00	-1.499982e+01	1.499982e-02
1.000000054712100e+00	5.000000e+00	-1.499985e+01	1.499985e-02
1.000000070156675e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000087540400e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000106312851e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000130828420e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000162237414e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000210354012e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000289445552e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000447628631e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000000682346974e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000001078704760e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000001477289373e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000002014148050e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000002574695316e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000004676862064e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000006779028811e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000008881195558e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000010983362306e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000013085529053e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000015187695801e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.000017289862548e+00	5.000000e+00	-1.499986e+01	1.499986e-02
1.500000001000000e+00	4.999999e+00	-1.499986e+01	1.499986e-02
1.500000002000000e+00	0.000000e+00	-1.499987e+01	1.499987e-02
1.500000018000001e+00	0.000000e+00	-1.499987e+01	1.499987e-02
1.500000020692184e+00	0.000000e+00	-1.499987e+01	1.499987e-02
1.500000025234757e+00	0.000000e+00	-1.499986e+01	1.499986e-02
1.500000034319902e+00	0.000000e+00	-1.499986e+01	1.499986e-02
1.500000052490192e+00	0.000000e+00	-1.499986e+01	1.499986e-02
1.500000088830772e+00	0.000000e+00	-1.499986e+01	1.499986e-02
1.500000141718978e+00	0.000000e+00	-1.499986e+01	1.499986e-02
