time	V(gpio)	I(R4)	I(V2)	Ix(U2:GATE)	Ix(U2:IN)	Ix(U2:OUT)	Ix(U2:SOURCE)
0.000000000000000e+00	0.000000e+00	9.501805e-01	-1.901311e+03	-1.163691e-12	1.233577e-05	9.501805e+02	-6.893775e-08
9.765625114122045e-11	4.882813e-01	4.132603e+00	-5.423185e+01	4.794999e-02	1.233577e-05	4.231786e-02	3.996291e-02
9.847730148544790e-11	4.923865e-01	4.149869e+00	-4.715145e+01	3.837813e-02	1.233577e-05	2.102849e-02	3.229962e-02
1.001194021739028e-10	5.005970e-01	4.180131e+00	-3.663596e+01	2.714447e-02	1.233577e-05	1.669421e-02	2.864015e-02
1.034036035508126e-10	5.170180e-01	4.226990e+00	-2.453544e+01	1.735974e-02	1.233577e-05	1.149233e-02	2.409071e-02
1.087197305454578e-10	5.435987e-01	4.278044e+00	-1.530428e+01	1.008566e-02	1.233577e-05	6.720499e-03	1.937367e-02
1.126570013848180e-10	5.632850e-01	4.302384e+00	-1.209124e+01	7.204080e-03	1.233577e-05	4.721224e-03	1.696954e-02
1.163828594498750e-10	5.819143e-01	4.318512e+00	-1.009720e+01	5.309765e-03	1.233577e-05	3.425588e-03	1.511463e-02
1.201147015979422e-10	6.005735e-01	4.330072e+00	-8.587669e+00	3.897897e-03	1.233577e-05	2.481025e-03	1.352067e-02
1.245311308803587e-10	6.226556e-01	4.339698e+00	-7.254062e+00	2.680682e-03	1.233577e-05	1.681380e-03	1.190659e-02
1.285462887519451e-10	6.427314e-01	4.345726e+00	-6.392697e+00	1.903947e-03	1.233590e-05	1.177918e-03	1.065815e-02
1.330917666125067e-10	6.654589e-01	4.350427e+00	-5.718164e+00	1.295602e-03	1.233572e-05	7.861413e-04	9.449992e-03
1.374171172225228e-10	6.870856e-01	4.353452e+00	-5.287990e+00	9.055146e-04	1.233577e-05	5.360309e-04	8.465733e-03
1.422344482721858e-10	7.111722e-01	4.355721e+00	-4.969786e+00	6.146268e-04	1.233577e-05	3.504224e-04	7.521416e-03
1.470601862852316e-10	7.353010e-01	4.357217e+00	-4.763235e+00	4.238371e-04	1.233577e-05	2.296904e-04	6.705903e-03
1.524704168425214e-10	7.623521e-01	4.358306e+00	-4.616056e+00	2.860117e-04	1.233577e-05	1.436396e-04	5.917153e-03
1.581821742057276e-10	7.909109e-01	4.359029e+00	-4.521370e+00	1.955047e-04	1.233577e-05	8.834907e-05	5.202042e-03
1.647604595107024e-10	8.238023e-01	4.359540e+00	-4.458135e+00	1.330545e-04	1.233577e-05	5.151516e-05	4.499676e-03
1.721221863856761e-10	8.606109e-01	4.359881e+00	-4.420376e+00	9.357017e-05	1.233577e-05	2.961249e-05	3.838065e-03
1.809890157815178e-10	9.049451e-01	4.360124e+00	-4.398706e+00	6.834876e-05	1.233577e-05	1.714023e-05	3.179769e-03
1.916310976605003e-10	9.581555e-01	4.360305e+00	-4.388513e+00	5.346091e-05	1.233577e-05	1.138095e-05	2.545706e-03
2.053848164435765e-10	1.026924e+00	4.360473e+00	-4.384938e+00	4.438326e-05	1.233577e-05	9.486518e-06	1.915709e-03
2.237111973077264e-10	1.118556e+00	4.360666e+00	-4.384778e+00	3.846395e-05	1.233577e-05	9.561786e-06	1.312969e-03
2.509074089574077e-10	1.254537e+00	4.360947e+00	-4.385673e+00	3.360192e-05	1.233577e-05	1.020142e-05	7.406423e-04
2.966947847946287e-10	1.483474e+00	4.361430e+00	-4.386497e+00	2.918672e-05	1.233578e-05	1.067730e-05	2.471157e-04
3.882695364690707e-10	1.941348e+00	4.362416e+00	-4.387432e+00	2.619668e-05	1.233577e-05	1.091941e-05	-6.264713e-05
5.051325756791290e-10	2.525663e+00	4.363702e+00	-4.388770e+00	2.621236e-05	1.233576e-05	1.113653e-05	-7.555188e-05
6.558875319328543e-10	3.279438e+00	4.365408e+00	-4.390738e+00	2.712043e-05	1.233576e-05	1.149797e-05	-1.919045e-05
